ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.113,mws revisit,mws,/rci/mws/revisit,no,yes,no,no,,,candidate:String,candidate,05_commands_mws_ndns_opkg_services(1).md:563,entries/mws.md
3.114,mws stp encapsulation,mws,/rci/mws/stp/encapsulation,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:597,entries/mws.md
3.115,mws stp priority,mws,/rci/mws/stp/priority,no,yes,no,yes,,,priority:Keyword,priority,05_commands_mws_ndns_opkg_services(1).md:644,entries/mws.md
3.116,mws update start,mws,/rci/mws/update/start,no,no,no,no,,,controller:Keyword;members:Keyword,,05_commands_mws_ndns_opkg_services(1).md:697,entries/mws.md
3.117,mws update stop,mws,/rci/mws/update/stop,no,no,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:740,entries/mws.md
3.118,mws zone,mws,/rci/mws/zone,no,yes,yes,yes,,,mac:MAC address;cid:Keyword,mac;cid,05_commands_mws_ndns_opkg_services(1).md:762,entries/mws.md
3.120,ndns,ndns,/rci/ndns,no,no,no,no,(ndns),,,,05_commands_mws_ndns_opkg_services(1).md:982,entries/ndns.md
3.120.1,ndns book-name,ndns,/rci/ndns/book-name,yes,no,no,no,,,name:String;domain:String;access:Keyword;access6:Keyword;transfer-code:Keyword,name;domain,05_commands_mws_ndns_opkg_services(1).md:1006,entries/ndns.md
3.120.2,ndns check-name,ndns,/rci/ndns/check-name,no,no,no,no,,,name:String,name,05_commands_mws_ndns_opkg_services(1).md:1158,entries/ndns.md
3.120.3,ndns drop-name,ndns,/rci/ndns/drop-name,yes,no,no,no,,,name:String;domain:String,name;domain,05_commands_mws_ndns_opkg_services(1).md:1199,entries/ndns.md
3.120.4,ndns get-booked,ndns,/rci/ndns/get-booked,no,no,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:1246,entries/ndns.md
3.120.5,ndns get-update,ndns,/rci/ndns/get-update,no,no,no,no,,,access:Keyword;access6:Keyword,,05_commands_mws_ndns_opkg_services(1).md:1298,entries/ndns.md
3.119,nextdns,nextdns,/rci/nextdns,no,no,no,no,(nextdns),,,,05_commands_mws_ndns_opkg_services(1).md:813,entries/nextdns.md
3.119.1,nextdns assign,nextdns,/rci/nextdns/assign,yes,yes,no,yes,,,host:MAC address;token:Integer;iface:Interface,host;token;iface,05_commands_mws_ndns_opkg_services(1).md:838,entries/nextdns.md
3.119.2,nextdns authenticate,nextdns,/rci/nextdns/authenticate,no,no,no,no,,,login:String;password:String;pin:String,login;password,05_commands_mws_ndns_opkg_services(1).md:887,entries/nextdns.md
3.119.3,nextdns authtoken,nextdns,/rci/nextdns/authtoken,yes,yes,no,no,,,authtoken:String,authtoken,05_commands_mws_ndns_opkg_services(1).md:921,entries/nextdns.md
3.119.4,nextdns check-availability,nextdns,/rci/nextdns/check-availability,no,no,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:959,entries/nextdns.md
3.121,ntce,ntce,/rci/ntce,no,no,no,no,(config-ntce),,,,05_commands_mws_ndns_opkg_services(1).md:1431,entries/ntce.md
3.121.1,ntce debug,ntce,/rci/ntce/debug,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:1455,
3.121.2,ntce filter assign host,ntce,/rci/ntce/filter/assign/host,yes,yes,yes,yes,,,host:MAC address;profile:String,host;profile,05_commands_mws_ndns_opkg_services(1).md:1488,entries/ntce.md
3.121.3,ntce filter assign interface,ntce,/rci/ntce/filter/assign/interface,yes,yes,yes,yes,,,interface:Interface;profile:String,interface;profile,05_commands_mws_ndns_opkg_services(1).md:1538,entries/ntce.md
3.121.4,ntce filter profile,ntce,/rci/ntce/filter/profile,yes,yes,no,yes,,IP,name:String,name,05_commands_mws_ndns_opkg_services(1).md:1588,
3.121.5,ntce filter profile application,ntce,/rci/ntce/filter/profile/application,yes,yes,no,no,,,name:String;application:Keyword,name,05_commands_mws_ndns_opkg_services(1).md:1628,
3.121.6,ntce filter profile description,ntce,/rci/ntce/filter/profile/description,yes,yes,no,no,,,name:String;description:Keyword,name,05_commands_mws_ndns_opkg_services(1).md:1668,
